,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
0,1,0,1,0,0,0,0,1,0,1,0,1
1,1,0,1,0,0,0,0,1,0,1,0,1
2,0,0,1,0,0,0,0,1,0,0,0,0
3,1,0,0,1,0,0,0,0,0,1,0,1
4,1,0,0,1,0,0,0,1,0,1,0,1
5,1,0,1,0,0,0,0,1,0,1,0,1
6,1,0,0,1,0,0,1,1,0,0,0,1
7,1,0,0,1,0,0,0,0,0,0,0,1
8,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0
10,1,0,0,1,0,0,0,1,0,1,0,1
11,1,0,0,1,0,0,0,1,0,0,0,1
12,0,0,1,0,0,0,1,1,0,1,0,1
13,1,0,0,1,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,1,0,0,0,0
15,1,0,0,1,0,0,0,1,0,1,0,1
16,1,0,1,0,0,0,0,1,0,1,0,1
17,1,0,1,0,0,0,0,0,0,0,0,0
18,1,0,1,0,0,0,1,1,0,1,0,1
19,1,0,0,1,0,0,0,1,0,1,0,1
20,1,0,1,0,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,1,0,0,0,0
23,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,1,0,0,0,1,0,1,0,0
25,1,0,0,1,0,0,0,0,0,0,0,0
26,1,0,0,1,0,1,0,1,0,1,1,1
27,1,0,0,1,0,1,0,1,0,1,0,1
28,1,0,1,0,0,0,0,1,0,1,0,1
29,1,0,1,0,0,0,0,1,0,1,0,1
30,1,0,0,1,0,0,0,0,0,0,0,0
31,1,0,0,1,0,0,0,1,0,1,0,1
32,0,0,1,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,0,0,1,0,0,0,0
34,1,0,1,0,0,0,0,1,0,0,0,0
35,1,0,0,1,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,0
37,1,0,1,0,0,0,1,1,0,0,0,1
38,1,0,0,1,0,0,0,1,0,1,0,1
39,0,0,1,0,0,0,0,0,0,0,0,1
40,0,0,1,0,0,0,1,1,0,1,0,1
41,0,0,1,0,0,0,0,1,0,1,0,0
42,0,0,1,0,0,0,0,1,0,0,0,1
43,1,0,0,1,0,0,0,1,0,0,0,1
44,0,0,1,0,0,0,0,0,0,0,0,0
45,0,0,1,0,0,0,0,1,0,0,0,0
46,0,0,0,1,0,0,0,1,0,1,0,0
47,1,0,1,0,0,0,0,0,0,1,0,1
48,1,0,1,0,0,0,0,0,0,1,0,0
49,0,0,0,1,0,0,0,1,0,1,0,0
50,1,0,0,1,0,0,0,1,0,1,0,1
51,0,0,1,0,0,0,0,1,0,0,0,0
52,1,0,1,0,0,0,0,0,0,0,0,1
53,1,0,0,1,0,0,1,1,0,1,0,1
54,1,0,1,0,0,0,0,0,0,0,0,0
55,1,0,1,0,0,0,1,1,0,1,0,1
56,1,0,1,0,0,0,0,0,0,0,0,0
57,1,0,0,1,0,0,0,1,0,1,0,1
58,1,0,1,0,0,0,0,0,0,0,0,0
59,0,0,1,0,0,0,0,1,0,0,0,1
60,1,0,0,1,0,0,0,0,0,0,0,1
61,1,0,1,0,0,0,0,0,0,0,1,0
62,0,0,1,0,0,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,1,0,1,0,1
64,1,0,0,1,0,0,0,0,0,1,1,1
65,1,0,0,1,0,0,0,1,0,0,0,1
66,1,0,1,0,0,0,0,1,0,0,0,1
67,1,0,1,0,0,0,0,1,0,0,0,0
68,1,0,0,1,0,0,0,1,0,1,0,1
69,0,0,0,1,0,0,0,0,0,0,0,0
70,0,0,1,0,0,0,0,0,0,1,0,0
71,0,0,1,0,0,0,1,1,0,1,0,1
72,1,0,1,0,0,0,0,0,0,0,0,0
73,0,0,0,1,0,0,0,1,0,0,0,0
74,1,0,1,0,0,0,0,1,0,0,0,0
75,0,0,1,0,0,0,0,0,0,0,0,0
76,0,0,1,0,0,0,0,0,0,0,0,0
77,1,0,0,1,0,0,0,1,0,0,1,1
78,0,0,1,0,0,0,0,1,0,1,0,0
79,0,0,1,0,0,0,0,0,0,0,0,0
80,0,0,1,0,0,0,1,1,0,1,0,0
81,0,0,1,0,0,0,0,0,0,0,0,0
82,1,0,0,1,0,0,0,0,0,1,0,1
83,1,0,0,1,0,0,1,1,0,1,0,1
84,1,0,0,1,0,0,0,1,0,0,0,0
85,1,0,1,0,0,0,0,1,0,0,0,0
86,0,0,1,0,0,0,0,0,0,0,0,0
87,1,0,0,1,0,0,0,1,0,1,0,1
88,1,0,1,0,0,0,0,0,0,1,0,1
89,1,0,0,1,0,0,0,1,0,1,0,1
90,1,0,1,0,0,0,0,0,0,0,0,0
91,1,0,1,0,0,1,0,1,0,0,0,1
92,1,0,1,0,0,0,0,0,0,0,1,0
93,1,0,1,0,0,0,1,1,0,0,0,1
94,1,0,1,0,0,0,0,0,0,0,0,1
95,1,0,1,0,0,0,0,1,0,0,1,0
96,1,0,1,0,0,1,0,1,0,0,0,1
97,1,0,0,1,0,0,0,1,0,1,0,1
98,1,0,1,0,0,0,0,0,0,0,0,0
99,1,0,1,0,0,0,0,1,0,0,0,1
100,1,0,1,0,0,0,0,1,0,0,0,0
101,1,0,1,0,0,0,1,1,0,1,0,1
102,1,0,1,0,0,0,0,1,0,1,0,1
103,1,0,1,0,0,0,1,1,0,0,0,0
104,1,0,1,0,0,0,0,0,0,0,0,0
105,1,0,1,0,0,0,0,1,0,1,0,1
106,0,0,1,0,0,0,0,1,0,0,0,0
107,1,0,0,1,0,0,1,0,0,0,0,1
108,1,0,0,1,0,0,0,1,0,1,0,1
109,0,0,1,0,0,0,0,1,0,1,0,0
110,0,0,1,0,0,0,0,0,0,0,0,0
111,0,0,1,0,0,0,0,0,0,0,0,0
112,1,0,0,1,0,0,0,0,0,0,0,1
113,0,0,1,0,0,0,0,0,0,0,0,0
114,1,0,0,1,0,0,1,1,0,1,1,1
115,1,0,0,1,0,0,1,1,0,0,0,0
116,1,0,1,0,0,0,0,0,0,0,0,1
117,1,0,0,1,0,0,0,0,0,0,0,0
118,0,0,1,0,0,0,0,0,0,0,0,0
119,1,0,0,1,0,0,0,0,0,1,0,1
120,1,0,0,1,0,0,0,1,0,0,0,1
121,1,0,1,0,0,0,1,0,0,1,0,0
122,0,0,1,0,0,0,0,0,0,0,0,0
123,1,0,0,1,0,0,0,0,0,1,0,1
124,0,0,1,0,0,0,0,0,0,0,0,0
125,1,0,0,1,0,0,0,1,0,0,0,1
126,1,0,1,0,0,0,0,0,0,0,0,0
127,1,0,0,1,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,0,1,0,0,0,0
129,1,0,0,1,0,0,1,1,0,0,0,1
130,0,0,1,0,0,0,0,0,0,0,1,1
131,0,0,1,0,0,0,0,0,0,0,0,0
132,0,0,1,0,0,0,0,0,0,0,0,0
133,1,0,0,1,0,0,0,1,0,1,0,1
134,1,0,0,1,0,0,0,1,0,1,0,1
135,0,0,0,1,0,0,0,0,0,0,0,0
136,1,0,0,1,0,0,0,0,0,0,0,0
137,0,0,0,1,0,0,0,0,0,0,0,0
138,1,0,0,1,0,0,0,0,0,0,0,1
139,1,0,0,1,0,0,1,1,0,1,0,1
140,1,0,1,0,0,0,0,1,0,0,0,0
141,1,0,1,0,0,0,0,0,0,0,0,1
142,1,0,1,0,0,0,0,0,0,0,0,1
143,1,0,1,0,0,0,0,0,0,1,0,1
144,0,0,0,1,0,0,0,0,0,0,0,0
145,1,0,1,0,0,0,0,1,0,1,0,1
146,1,0,1,0,0,0,0,1,0,0,0,0
147,1,0,0,1,0,0,1,1,0,0,0,1
